SDD21_Lower	SDD11_Upper	SCD21_Upper	SCD22_Upper	SCD21-SDD21_Upper	NEXT_Upper	SDD21_offset
-6	-8.19627605	-18	-12.99627605	-10	-35	0.638887
-6	-8.176044447	-18	-12.97604445	-10	-35	0.642297
-6	-8.155883461	-18	-12.95588346	-10	-35	0.643529
-6	-8.135792601	-18	-12.9357926	-10	-35	0.642501
-6	-8.115771379	-18	-12.91577138	-10	-35	0.643131
-6	-8.095819316	-18	-12.89581932	-10	-35	0.643974
-6	-8.075935934	-18	-12.87593593	-10	-35	0.645417
-6	-8.056120764	-18	-12.85612076	-10	-35	0.647556
-6	-8.036373337	-18	-12.83637334	-10	-35	0.647664
-6	-8.016693193	-18	-12.81669319	-10	-35	0.650095
-6	-7.997079875	-18	-12.79707988	-10	-35	0.650329
-6	-7.977532931	-18	-12.77753293	-10	-35	0.651721
-6	-7.958051912	-18	-12.75805191	-10	-35	0.653089
-6	-7.938636376	-18	-12.73863638	-10	-35	0.655781
-6	-7.919285883	-18	-12.71928588	-10	-35	0.656272
-6	-7.9	-18	-12.7	-10	-35	0.656718
-6	-7.880778296	-18	-12.6807783	-10	-35	0.659255
-6	-7.861620346	-18	-12.66162035	-10	-35	0.660543
-6	-7.842525729	-18	-12.64252573	-10	-35	0.660149
-6	-7.823494026	-18	-12.62349403	-10	-35	0.659778
-6	-7.804524824	-18	-12.60452482	-10	-35	0.663202
-6	-7.785617716	-18	-12.58561772	-10	-35	0.665082
-6	-7.766772294	-18	-12.56677229	-10	-35	0.665408
-6	-7.747988158	-18	-12.54798816	-10	-35	0.667603
-6	-7.729264911	-18	-12.52926491	-10	-35	0.667751
-6	-7.71060216	-18	-12.51060216	-10	-35	0.669829
-6	-7.691999514	-18	-12.49199951	-10	-35	0.671639
-6	-7.673456587	-18	-12.47345659	-10	-35	0.671456
-6	-7.654972998	-18	-12.454973	-10	-35	0.672437
-6	-7.636548368	-18	-12.43654837	-10	-35	0.675721
-6	-7.618182322	-18	-12.41818232	-10	-35	0.67624
-6	-7.599874489	-18	-12.39987449	-10	-35	0.67927
-6	-7.5816245	-18	-12.3816245	-10	-35	0.679642
-6	-7.563431992	-18	-12.36343199	-10	-35	0.680293
-6	-7.545296603	-18	-12.3452966	-10	-35	0.684096
-6	-7.527217976	-18	-12.32721798	-10	-35	0.684276
-6	-7.509195757	-18	-12.30919576	-10	-35	0.686146
-6	-7.491229594	-18	-12.29122959	-10	-35	0.688547
